product_id,brand,title,price,category,rating,image_url,product_url,path
B08YRWN3WB,JANSPORT,Big Student Large laptop backpack Black EK0A5BAHN551,189,New season,4.7,https://m.media-amazon.com/images/I/51y2EF0OmOL._AC_UL320_.jpg,https://www.amazon.ae/dp/B08YRWN3WB,img_00000
B08YRXFZZM,JANSPORT,Superbreak Day Pack,119,New season,4.6,https://m.media-amazon.com/images/I/51yvvQUs3SL._AC_UL320_.jpg,https://www.amazon.ae/dp/B08YRXFZZM,img_00001
B09Q2PQ7ZB,BAODINI,Mini Travel Umbrella With Case Small Compact UV Umbrella Protection Sun Lightweight Tiny Pocket Umbrella,17.79,New season,4.2,https://m.media-amazon.com/images/I/71WbrZPbnGL._AC_UL320_.jpg,https://www.amazon.ae/dp/B09Q2PQ7ZB,img_00002
B001BEAWXY,Calvin Klein,Men's Cotton Classics 3-Pack Boxer Brief,119,New season,4.2,https://m.media-amazon.com/images/I/716vzeqa7ZL._AC_UL320_.jpg,https://www.amazon.ae/dp/B001BEAWXY,img_00003
B09FM5PMN3,JANSPORT,Unisex Kids Bag Backpack,179,New season,4.4,https://m.media-amazon.com/images/I/51XASBuqjrL._AC_UL320_.jpg,https://www.amazon.ae/dp/B09FM5PMN3,img_00004
B08YRVSZLJ,JANSPORT,Superbreak Backpack,129,New season,4.6,https://m.media-amazon.com/images/I/51kw4XtzuyL._AC_UL320_.jpg,https://www.amazon.ae/dp/B08YRVSZLJ,img_00005
B0BY12QTS5,yeuG,"Non Slip Pilates Socks with Grips for Women, Grip Socks for Yoga Ballet Barefoot Workout Anti Skid Athletic Socks",19,New season,4.6,https://m.media-amazon.com/images/I/71g1ZrrOk9L._AC_UL320_.jpg,https://www.amazon.ae/dp/B0BY12QTS,img_00006
B09N2PJXRZ,adidas,unisex Classic 3-Stripes Backpack BACKPACK,77,New season,4.5,https://m.media-amazon.com/images/I/81Beonq+r1L._AC_UL320_.jpg,https://www.amazon.ae/dp/B09N2PJXRZ,img_00007
B08GS7DWS1,Tommy Hilfiger,"THEO Men Watch, Analog",209.6,New season,4.4,https://m.media-amazon.com/images/I/614YUufLpwL._AC_UL320_.jpg,https://www.amazon.ae/dp/B08GS7DWS,img_00008
B08YRXDNB9,JANSPORT,Unisex Basic Accessory Pouch Pencil case,,New season,4.6,https://m.media-amazon.com/images/I/51fQ6zVFiUL._AC_UL320_.jpg,https://www.amazon.ae/dp/B08YRXDNB9,img_00009
B09F35Y815,Nike,Mens ELMNTL - LBR BACKPACK,119,New season,4.6,https://m.media-amazon.com/images/I/61OkQHiZOnL._AC_UL320_.jpg,https://www.amazon.ae/dp/B09F35Y8,img_00010
B08YRX1PF2,JANSPORT,"JanSport BIG STUDENT Großer Rucksack, 15 inch -Laptopfach",123.85,New season,4.6,https://m.media-amazon.com/images/I/61pIosB5rHL._AC_UL320_.jpg,https://www.amazon.ae/dp/B08YRX1PF,img_00011
B0C8TJ79FM,livbote,"Gym Bag for Women Men with Shoe Compartment, Sport Duffel Bag, Waterproof Travel Weekender Overnight Carry on Bag for Yoga with Trolley Sleeve, Black, A-Black, Shoe Compartment",37.9,New season,4.5,https://m.media-amazon.com/images/I/71G56RIbyGL._AC_UL320_.jpg,https://www.amazon.ae/dp/B0C8TJ79FM,img_00012
B09N2NDN9V,adidas,unisex Power Backpack BACKPACK,87.15,New season,4.6,https://m.media-amazon.com/images/I/91fV9nyuv7L._AC_UL320_.jpg,https://www.amazon.ae/dp/B09N2NDN9V,img_00013
B09NYGYSM7,Nike,NK BRSLA XS DUFF - 9.5 (25L),109,New season,4.7,https://m.media-amazon.com/images/I/81E3Y3wxgxL._AC_UL320_.jpg,https://www.amazon.ae/dp/B09NYGYSM7,img_00014
B08YRYDXYB,JANSPORT,Unisex Big Student Big Student,189,New season,4.6,https://m.media-amazon.com/images/I/510wZIlA3rL._AC_UL320_.jpg,https://www.amazon.ae/dp/B08YRYDXYB,img_00015
B0FJFFY9D1,McMola,"White Shoe Cleaner,New Multi-functional Cleaning and Stain Removal Cream,White Shoes Cleaner, Multipurpose Cleaning Cream,All-Purpose Rinse-Free Cleaning Cream-1pc with Sponge",8.99,New season,,https://m.media-amazon.com/images/I/61XpSfqPWvL._AC_UL320_.jpg,https://www.amazon.ae/dp/B0FJFFY9D,img_00016
B07DRHG6XT,TIJN,Blue Light Blocking Glasses Photochromic Lens Sunglasses Anti Eyestrain and UVA/UVB for Women and Men,24.7,New season,4.3,https://m.media-amazon.com/images/I/61TnSoBdnNL._AC_UL320_.jpg,https://www.amazon.ae/dp/B07DRHG6XT,img_00017
B0DTZ4JKGH,Nike,Unisex ELMNTL - HBR BACKPACK,136,New season,5,https://m.media-amazon.com/images/I/71W9XnuJoHL._AC_UL320_.jpg,https://www.amazon.ae/dp/B0DTZ4JKGH,img_00018
B0774XP86B,Crep Protect,Ultimate Scuff Eraser - Sneaker Cleaner for Suede and Nubuck Shoes,49,New season,4.2,https://m.media-amazon.com/images/I/71xd1y8Y50L._AC_UL320_.jpg,https://www.amazon.ae/dp/B0774XP86B,img_00019
B09N2NJ73C,adidas,unisex Classic Badge of Sport Backpack BACKPACK,66,New season,4.5,https://m.media-amazon.com/images/I/81YzIPs6IDL._AC_UL320_.jpg,https://www.amazon.ae/dp/B09N2NJ73C,img_00020
B0BW4LKCT5,PUJANE,Men's Dress Socks 5 Pairs Mens Cotton Calf Business Formal Soft Breathable Long Crew Casual Socks,49.99,New season,4.4,https://m.media-amazon.com/images/I/51PVatBRLFL._AC_UL320_.jpg,https://www.amazon.ae/dp/B0BW4LKCT,img_00021
B0DRH43G9W,JANSPORT,Unisex Large Accesssory Pouch Accessories,56,New season,,https://m.media-amazon.com/images/I/71giCaqbZQL._AC_UL320_.jpg,https://www.amazon.ae/dp/B0DRH43G9W,img_00022
B07W75NTVR,BANGE,"35L Travel Backpack,Flight Approved Carry On Backpack for International Travel Bag, Water Resistant Durable 17-inch Laptop Backpacks,Large Daypack Business Weekender Luggage Backpack for Men Women",135,New season,4.5,https://m.media-amazon.com/images/I/71CNbs4-ukL._AC_UL320_.jpg,https://www.amazon.ae/dp/B07W75NTVR,img_00023
B09M6K1XD8,OCHEAL,"Makeup Bag, Portable Cosmetic Bag, Large Capacity Travel Makeup Case Organizer, Black Makeup Bags For Women Toiletry Bag for Girls Traveling With Handle and Divider",39.89,New season,4.7,https://m.media-amazon.com/images/I/71MRp+xH+6L._AC_UL320_.jpg,https://www.amazon.ae/dp/B09M6K1XD8,img_00024
B0C7852Z79,Under Armour,Bgs Assert 10 Ufm Syn boys Shoes,107.29,New season,4.4,https://m.media-amazon.com/images/I/51LaOfAz70L._AC_UL320_.jpg,https://www.amazon.ae/dp/B0C7852Z79,img_00025
B08Y2J5FPD,JANSPORT,unisex-adult Union Pack Backpack,129,New season,4.7,https://m.media-amazon.com/images/I/412mrx4xnwL._AC_UL320_.jpg,https://www.amazon.ae/dp/B08Y2J5FPD,img_00026
B0B85KKC3X,Nike,Unisex ELMNTL PRM BACKPACK,,New season,4.6,https://m.media-amazon.com/images/I/61qm+WptkdL._AC_UL320_.jpg,https://www.amazon.ae/dp/B0B85KKC3X,img_00027
B0DMYPB8PK,adidas,unisex-adult Backpack With Pencil Case Backpack,100,New season,4.6,https://m.media-amazon.com/images/I/71V-mL+A8AL._AC_UL320_.jpg,https://www.amazon.ae/dp/B0DMYPB8PK,img_00028
B0F62Y89LT,JANSPORT,Unisex Big Day Pack BACKPACKS,179,New season,,https://m.media-amazon.com/images/I/91kEsZkbiyL._AC_UL320_.jpg,https://www.amazon.ae/dp/B0F62Y89LT,img_00029
B000S27MI8,EASTPAK,"Benchmark Single Pencil Case, 21 cm",72.17,New season,4.7,https://m.media-amazon.com/images/I/71OfAvUDfDL._AC_UL320_.jpg,https://www.amazon.ae/dp/B000S27MI8,img_00030
B0C8HY95M4,Skechers,MICROSTRIDES - CLASS SPIRIT girls SPORTS,102.6,New season,4.6,https://m.media-amazon.com/images/I/71DIE5UlDYL._AC_UL320_.jpg,https://www.amazon.ae/dp/B0C8HY95M4,img_00031
B0B1V85H3Y,JANSPORT,SuperBreak One Backpack,129,New season,4.6,https://m.media-amazon.com/images/I/417WRinD-FL._AC_UL320_.jpg,https://www.amazon.ae/dp/B0B1V85H3Y,img_00032
B0CL89TVTR,Herschel,Classic XL Backpack,162,New season,4.6,https://m.media-amazon.com/images/I/81iesIa5mkL._AC_UL320_.jpg,https://www.amazon.ae/dp/B0CL89TVTR,img_00033
B0B2WY42TR,adidas,Tensaur Sport 2.0 Cf K unisex-child Shoes,113.4,New season,4.6,https://m.media-amazon.com/images/I/61iXPyo4COL._AC_UL320_.jpg,https://www.amazon.ae/dp/B0B2WY42TR,img_00034
B0BPTL2KXF,adidas,unisex Classic Foundation Backpack BACKPACK,41,New season,4.6,https://m.media-amazon.com/images/I/81LuRTsYrqL._AC_UL320_.jpg,https://www.amazon.ae/dp/B0BPTL2KXF,img_00035
B00VVQTU1C,Nike,Unisex Adult Cush Ankle- 3p Value Socks,46,New season,4.5,https://m.media-amazon.com/images/I/71R091yUXTS._AC_UL320_.jpg,https://www.amazon.ae/dp/B00VVQTU1C,img_00036
B0BWK4GPRG,PUMA,Mens PUMA Phase Backpacks,54.5,New season,4.6,https://m.media-amazon.com/images/I/81D9jp4+hZL._AC_UL320_.jpg,https://www.amazon.ae/dp/B0BWK4GPRG,img_00037
B0D33T9K2K,adidas,"Back To School Pencil Case 2.0 unisex child Bag,Black,One Size",,New season,4.5,https://m.media-amazon.com/images/I/61S8DHoHJAL._AC_UL320_.jpg,https://www.amazon.ae/dp/B0D33T9K2K,img_00038
B0B3F3PKLN,PUMA,Mens Lunch Bag and Backpack Set,109,New season,4.4,https://m.media-amazon.com/images/I/71Ff3g32OSL._AC_UL320_.jpg,https://www.amazon.ae/dp/B0B3F3PKLN,img_00039
B09NYCF84H,Nike,"NK BRSLA L DUFF - 9.5 (95L) Duffle Bag, One Size",129,New season,4.5,https://m.media-amazon.com/images/I/71Gpt-DpveL._AC_UL320_.jpg,https://www.amazon.ae/dp/B09NYCF84H,img_00040
B0D3J15JJ2,Skechers,SKECH-AIR DYNAMIGHT 2.0 womens SHOES,77.59,New season,4.2,https://m.media-amazon.com/images/I/51yPOxjee5L._AC_UL320_.jpg,https://www.amazon.ae/dp/B0D3J15JJ,img_00041
B09HZD11WT,adidas,Adilette Shower Beach & Pool Mens Sandals,66,New season,4.1,https://m.media-amazon.com/images/I/41+m-t9gLPL._AC_UL320_.jpg,https://www.amazon.ae/dp/B09HZD11WT,img_00042
B0DPLQMZZ4,Skechers,BOUNDER boys Shoes,104,New season,3,https://m.media-amazon.com/images/I/61OQkKo31iL._AC_UL320_.jpg,https://www.amazon.ae/dp/B0DPLQMZZ4,img_00043
B0CL8424TZ,Herschel,unisex-adult Classic Xl Backpack Backpack,133,New season,4.7,https://m.media-amazon.com/images/I/71HmCWB-BML._AC_UL320_.jpg,https://www.amazon.ae/dp/B0CL8424TZ,img_00044
B083RX7JTQ,Buffway,Mens RFID Blocking Slim Bifold Wallet Minimalist Leather Small Wallets for Men with Cash Pocket and Card Holder Slots,36,New season,4.6,https://m.media-amazon.com/images/I/8170keb2VoL._AC_UL320_.jpg,https://www.amazon.ae/dp/B083RX7JTQ,img_00045
B0B2WYMLW3,adidas,Tensaur Sport 2.0 Cf K unisex-child Sneaker,89.5,New season,4.6,https://m.media-amazon.com/images/I/51kzQGEo2PL._AC_UL320_.jpg,https://www.amazon.ae/dp/B0B2WYMLW3,img_00046
B096X4MBH6,Tommy Hilfiger,"MACY'S ESSENTIALS Men Watch, Analog",174,New season,4.2,https://m.media-amazon.com/images/I/81mtSiBYXBS._AC_UL320_.jpg,https://www.amazon.ae/dp/B096X4MBH6,img_00047
B088KR4ZZS,JANSPORT,unisex-adult Main Campus Backpack,247.22,New season,4.7,https://m.media-amazon.com/images/I/81vBTv+DjPL._AC_UL320_.jpg,https://www.amazon.ae/dp/B088KR4ZZS,img_00048
B0BN6SSWBY,Skechers,MICROSTRIDES girls Sneaker,112,New season,4.4,https://m.media-amazon.com/images/I/61q3L4QoTOL._AC_UL320_.jpg,https://www.amazon.ae/dp/B0BN6SSWBY,img_00049
B00X3LXXDE,Kaps,"Nubuck & Suede Shoe Boot Cleaner with Brush Applicator Cap, Shampoo For, 75 ml - 2.53 fl. oz.",23.99,New season,3.6,https://m.media-amazon.com/images/I/71TVqlddlaL._AC_UL320_.jpg,https://www.amazon.ae/dp/B00X3LXXDE,img_00050
